fips,county_name,population
13187,"Lumpkin County, Georgia",33405
13189,"McDuffie County, Georgia",21715
13191,"McIntosh County, Georgia",11183
13193,"Macon County, Georgia",12099
13195,"Madison County, Georgia",30378
13197,"Marion County, Georgia",7508
13199,"Meriwether County, Georgia",20679
13201,"Miller County, Georgia",5923
13205,"Mitchell County, Georgia",21634
13207,"Monroe County, Georgia",28287
13209,"Montgomery County, Georgia",8687
13211,"Morgan County, Georgia",20171
13213,"Murray County, Georgia",40063
13215,"Muscogee County, Georgia",204572
13217,"Newton County, Georgia",113298
13219,"Oconee County, Georgia",41978
13221,"Oglethorpe County, Georgia",14974
13223,"Paulding County, Georgia",169898
13225,"Peach County, Georgia",28054
13227,"Pickens County, Georgia",33439
13229,"Pierce County, Georgia",19822
13231,"Pike County, Georgia",19145
13233,"Polk County, Georgia",43019
13235,"Pulaski County, Georgia",9887
13237,"Putnam County, Georgia",22206
13239,"Quitman County, Georgia",2180
13241,"Rabun County, Georgia",16915
13243,"Randolph County, Georgia",6365
13245,"Richmond County, Georgia",206153
13247,"Rockdale County, Georgia",93641
13249,"Schley County, Georgia",4565
13251,"Screven County, Georgia",14026
13253,"Seminole County, Georgia",9117
13255,"Spalding County, Georgia",67415
13257,"Stephens County, Georgia",26732
13259,"Stewart County, Georgia",5121
13261,"Sumter County, Georgia",29378
13263,"Talbot County, Georgia",5793
13265,"Taliaferro County, Georgia",1635
13267,"Tattnall County, Georgia",24309
13269,"Taylor County, Georgia",7799
13271,"Telfair County, Georgia",12619
13273,"Terrell County, Georgia",9004
13275,"Thomas County, Georgia",45665
13277,"Tift County, Georgia",41247
13279,"Toombs County, Georgia",26946
13281,"Towns County, Georgia",12546
13283,"Treutlen County, Georgia",6411
13285,"Troup County, Georgia",69527
13287,"Turner County, Georgia",8894
13289,"Twiggs County, Georgia",7955
13291,"Union County, Georgia",24880
13293,"Upson County, Georgia",27638
13295,"Walker County, Georgia",68065
13297,"Walton County, Georgia",97752
13299,"Ware County, Georgia",35917
13301,"Warren County, Georgia",5197
13303,"Washington County, Georgia",19975
13305,"Wayne County, Georgia",30277
13307,"Webster County, Georgia",2354
13309,"Wheeler County, Georgia",7550
13311,"White County, Georgia",28165
13313,"Whitfield County, Georgia",103033
13315,"Wilcox County, Georgia",8839
13317,"Wilkes County, Georgia",9610
13319,"Wilkinson County, Georgia",8852
13321,"Worth County, Georgia",20706
15001,"Hawaii County, Hawaii",202163
15003,"Honolulu County, Hawaii",1010100
15005,"Kalawao County, Hawaii",50
15007,"Kauai County, Hawaii",73511
15009,"Maui County, Hawaii",164765
16001,"Ada County, Idaho",497494
16003,"Adams County, Idaho",4464
16005,"Bannock County, Idaho",87434
16007,"Bear Lake County, Idaho",6436
16009,"Benewah County, Idaho",9731
16011,"Bingham County, Idaho",48253
16013,"Blaine County, Idaho",24248
16015,"Boise County, Idaho",7809
16017,"Bonner County, Idaho",47976
16019,"Bonneville County, Idaho",124490
16021,"Boundary County, Idaho",12335
16023,"Butte County, Idaho",2605
16025,"Camas County, Idaho",1133
16027,"Canyon County, Idaho",235006
16029,"Caribou County, Idaho",7058
16031,"Cassia County, Idaho",24859
16033,"Clark County, Idaho",756
16035,"Clearwater County, Idaho",8810
16037,"Custer County, Idaho",4344
16039,"Elmore County, Idaho",28752
16041,"Franklin County, Idaho",14376
16043,"Fremont County, Idaho",13519
16045,"Gem County, Idaho",19250
16047,"Gooding County, Idaho",15520
16049,"Idaho County, Idaho",16787
16051,"Jefferson County, Idaho",31383
16053,"Jerome County, Idaho",24474
16055,"Kootenai County, Idaho",173396
16057,"Latah County, Idaho",39872
16059,"Lemhi County, Idaho",8043
16061,"Lewis County, Idaho",3630
16063,"Lincoln County, Idaho",5203
16065,"Madison County, Idaho",52487
16067,"Minidoka County, Idaho",21626
16069,"Nez Perce County, Idaho",42200
16071,"Oneida County, Idaho",4572
16073,"Owyhee County, Idaho",12043
16075,"Payette County, Idaho",25571
16077,"Power County, Idaho",7918
16079,"Shoshone County, Idaho",13399
16081,"Teton County, Idaho",11813
16083,"Twin Falls County, Idaho",90592
16085,"Valley County, Idaho",11830
16087,"Washington County, Idaho",10612
17001,"Adams County, Illinois",65583
17003,"Alexander County, Illinois",5261
17005,"Bond County, Illinois",16750
17007,"Boone County, Illinois",53459
17009,"Brown County, Illinois",6334
17011,"Bureau County, Illinois",33203
17013,"Calhoun County, Illinois",4472
17015,"Carroll County, Illinois",15594
17017,"Cass County, Illinois",12955
17019,"Champaign County, Illinois",206525
17021,"Christian County, Illinois",33893
17023,"Clark County, Illinois",15467
17025,"Clay County, Illinois",13248
17027,"Clinton County, Illinois",36998
17029,"Coles County, Illinois",47076
17031,"Cook County, Illinois",5225367
17033,"Crawford County, Illinois",18729
17035,"Cumberland County, Illinois",10447
17037,"DeKalb County, Illinois",100686
17039,"De Witt County, Illinois",15535
17041,"Douglas County, Illinois",19714
17043,"DuPage County, Illinois",930559
17045,"Edgar County, Illinois",16852
17047,"Edwards County, Illinois",6182
