country_name,iso3,year,region,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Denmark,DNK,1890,Western Europe,3,Netherlands,NLD,14.621,85.4,4
Denmark,DNK,1900,Western Europe,1,Germany,DEU,7.057,92.9,2
Denmark,DNK,1900,Western Europe,2,Netherlands,NLD,8.455,91.5,3
Denmark,DNK,1900,Western Europe,3,Sweden,SWE,13.897,86.1,3
Denmark,DNK,1910,Western Europe,1,Netherlands,NLD,8.582,91.4,4
Denmark,DNK,1910,Western Europe,2,Germany,DEU,9.721,90.3,2
Denmark,DNK,1910,Western Europe,3,Ireland,IRL,12.466,87.5,2
Denmark,DNK,1920,Western Europe,1,Netherlands,NLD,3.042,97.0,3
Denmark,DNK,1920,Western Europe,2,United Kingdom,GBR,4.743,95.3,3
Denmark,DNK,1920,Western Europe,3,Belgium,BEL,7.611,92.4,3
Denmark,DNK,1930,Western Europe,1,United Kingdom,GBR,2.879,97.1,3
Denmark,DNK,1930,Western Europe,2,Netherlands,NLD,5.322,94.7,3
Denmark,DNK,1930,Western Europe,3,Belgium,BEL,10.849,89.2,3
Denmark,DNK,1940,Western Europe,1,Sweden,SWE,2.718,97.3,3
Denmark,DNK,1940,Western Europe,2,Netherlands,NLD,3.317,96.7,3
Denmark,DNK,1940,Western Europe,3,Germany,DEU,10.121,89.9,2
Denmark,DNK,1950,Western Europe,1,Sweden,SWE,4.938,95.1,4
Denmark,DNK,1950,Western Europe,2,United Kingdom,GBR,5.449,94.6,4
Denmark,DNK,1950,Western Europe,3,Netherlands,NLD,7.356,92.6,4
Denmark,DNK,1960,Western Europe,1,United Kingdom,GBR,4.108,95.9,4
Denmark,DNK,1960,Western Europe,2,Sweden,SWE,5.384,94.6,4
Denmark,DNK,1960,Western Europe,3,Norway,NOR,9.94,90.1,4
Denmark,DNK,1970,Western Europe,1,Sweden,SWE,6.229,93.8,4
Denmark,DNK,1970,Western Europe,2,Netherlands,NLD,7.024,93.0,4
Denmark,DNK,1970,Western Europe,3,United Kingdom,GBR,9.165,90.8,4
Denmark,DNK,1980,Western Europe,1,France,FRA,5.543,94.5,4
Denmark,DNK,1980,Western Europe,2,Germany,DEU,9.188,90.8,3
Denmark,DNK,1980,Western Europe,3,Norway,NOR,9.725,90.3,4
Denmark,DNK,1990,Western Europe,1,Norway,NOR,5.207,94.8,4
Denmark,DNK,1990,Western Europe,2,Finland,FIN,6.334,93.7,4
Denmark,DNK,1990,Western Europe,3,France,FRA,7.618,92.4,4
